Эпизод 42048 | Итоговая награда: -121.73
Эпизод 44096 | Итоговая награда: -122.88
Эпизод 46144 | Итоговая награда: -122.88
Эпизод 48192 | Итоговая награда: -121.68
Эпизод 50240 | Итоговая награда: -122.88
Эпизод 52288 | Итоговая награда: -122.88
Эпизод 54336 | Итоговая награда: -121.98
Эпизод 56384 | Итоговая награда: -46.03
Эпизод 57048 | Итоговая награда: -50.83
Эпизод 59096 | Итоговая награда: 5879.52
Эпизод 61144 | Итоговая награда: -46.23
Эпизод 63192 | Итоговая награда: 9179.42
Эпизод 65240 | Итоговая награда: 9279.52
Эпизод 67048 | Итоговая награда: 648.87
Эпизод 69096 | Итоговая награда: 657.97
Эпизод 71144 | Итоговая награда: 657.37
Эпизод 73192 | Итоговая награда: 683.47
Эпизод 75240 | Итоговая награда: 586.22
Эпизод 77288 | Итоговая награда: 687.52
Эпизод 79336 | Итоговая награда: 586.22
Эпизод 81384 | Итоговая награда: 586.22
Эпизод 83432 | Итоговая награда: 687.52
Эпизод 85480 | Итоговая награда: 586.22
Эпизод 87528 | Итоговая награда: 687.52
Эпизод 62048 | Итоговая награда: 11879.52
Эпизод 64096 | Итоговая награда: 18679.52
Эпизод 62048 | Итоговая награда: -47.53
Эпизод 64096 | Итоговая награда: -45.03
Эпизод 66144 | Итоговая награда: 10679.52
Эпизод 68192 | Итоговая награда: 10879.52
Эпизод 67048 | Итоговая награда: 2099.52
Эпизод 69096 | Итоговая награда: 1919.52
Эпизод 72048 | Итоговая награда: -122.83
Эпизод 74096 | Итоговая награда: 5819.52
Эпизод 77048 | Итоговая награда: -56.13
Эпизод 79096 | Итоговая награда: -122.83
